RIL,Rep,Leaf,Area,Subtotal,Max Width,Average Width,Length,Angle (degrees),distance to next leaf (inches),diameter of stem (mm),height (inches),dry weight (g)
73,7,9,445.382,28932.83,23.3,3.5,127.9,50,,,,
73,8,1,388.252,29321.082,23.3,3.6,107.6,15,1,8,108,90.77
73,8,2,395.291,29716.371,24.3,3.6,109.2,20,7.5,10,,
73,8,3,424.757,30141.129,23.6,3.8,112.9,20,11,13,,
73,8,4,456.685,30597.812,22,3.9,116.6,25,11.5,14,,
73,8,5,435.156,31032.969,24.1,3.8,113.2,24,10,15,,
73,8,6,447.247,31480.217,23.7,3.7,119.2,32,10,14,,
73,8,7,445.877,31926.092,23.2,3.7,119.9,50,9.5,16,,
73,8,8,398.908,32325,23.5,3.2,125.2,35,9,16,,
73,8,9,404.296,32729.297,23.9,3.1,131.9,30,,,,
73,9,1,382.682,33111.977,23.7,3.7,103.2,15,3,10,111,98.63
73,9,2,366.513,33478.492,22,3.5,103.6,30,7.5,11,,
73,9,3,377.933,33856.426,23.3,3.5,107.6,20,9,14,,
73,9,4,398.368,34254.793,22.4,3.7,106.2,20,9,14,,
73,9,5,425.343,34680.137,23.6,4,106.6,20,10,15,,
73,9,6,439.814,35119.953,23.8,3.7,120.2,32,10.5,16,,
73,9,7,489.858,35609.809,23.1,4.2,117.9,30,10.5,16,,
73,9,8,454.665,36064.473,23.4,3.4,133.2,45,,,,
73,10,1,384.176,36448.648,20.9,3.9,97.9,30,3,11,109,116.94
73,10,2,383.259,36831.906,24.9,3.8,99.7,26,7,13,,
73,10,3,383.756,37215.664,24.5,3.7,104.5,30,9.5,16,,
73,10,4,406.818,37622.48,25.2,4,100.7,25,8,16,,
73,10,5,397.267,38019.746,24,3.8,104,30,8,16,,
73,10,6,421.026,38440.777,24.9,3.5,119.9,35,8.5,16,,
73,10,7,413.989,38854.766,24.6,3.6,113.4,30,7.5,17,,
73,10,8,385.201,39239.965,25,2.9,130.5,45,9.5,16,,
73,10,9,403.307,39643.273,23.5,3.3,120.8,45,,,,
