,Time,1,2,3,4
S/N,,720479,720479,720479,720479
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception #2,Light Interception #2,Light Interception #2,Light Interception #2
Property,,Maximum Temperature,Temperature,Maximum Humidity,Humidity
259,2014-07-22 14:46:57,37.993 °C,37.984 °C,47.3 %RH,46.6 %RH
260,2014-07-22 14:47:27,37.999 °C,37.999 °C,46.3 %RH,46.3 %RH
261,2014-07-22 14:47:57,38.028 °C,38.026 °C,47.3 %RH,46.6 %RH
262,2014-07-22 14:48:27,38.069 °C,38.069 °C,47.3 %RH,43.8 %RH
263,2014-07-22 14:48:57,38.178 °C,38.178 °C,43.6 %RH,43.1 %RH
264,2014-07-22 14:49:27,38.368 °C,38.368 °C,43.1 %RH,42.4 %RH
265,2014-07-22 14:49:57,38.558 °C,38.558 °C,42.9 %RH,42.9 %RH
266,2014-07-22 14:50:27,38.726 °C,38.726 °C,43.3 %RH,41.6 %RH
267,2014-07-22 14:50:57,38.932 °C,38.932 °C,41.9 %RH,39.0 %RH
268,2014-07-22 14:51:27,39.173 °C,39.173 °C,41.1 %RH,40.4 %RH
269,2014-07-22 14:51:57,39.394 °C,39.394 °C,40.4 %RH,39.4 %RH
270,2014-07-22 14:52:27,39.565 °C,39.565 °C,39.4 %RH,38.7 %RH
271,2014-07-22 14:52:57,39.728 °C,39.728 °C,39.9 %RH,39.9 %RH
272,2014-07-22 14:53:27,39.884 °C,39.884 °C,40.7 %RH,39.7 %RH
273,2014-07-22 14:53:57,40.046 °C,40.046 °C,41.6 %RH,40.4 %RH
274,2014-07-22 14:54:27,40.199 °C,40.199 °C,45.3 %RH,42.4 %RH
275,2014-07-22 14:54:57,40.322 °C,40.322 °C,41.9 %RH,38.7 %RH
276,2014-07-22 14:55:27,40.403 °C,40.403 °C,39.2 %RH,39.0 %RH
277,2014-07-22 14:55:57,40.493 °C,40.493 °C,40.9 %RH,40.7 %RH
278,2014-07-22 14:56:27,40.551 °C,40.551 °C,40.7 %RH,39.9 %RH
279,2014-07-22 14:56:57,40.603 °C,40.603 °C,40.9 %RH,39.7 %RH
280,2014-07-22 14:57:27,40.605 °C,40.596 °C,41.9 %RH,41.9 %RH
281,2014-07-22 14:57:57,40.617 °C,40.617 °C,42.1 %RH,39.4 %RH
282,2014-07-22 14:58:27,40.693 °C,40.693 °C,39.4 %RH,36.0 %RH
283,2014-07-22 14:58:57,40.829 °C,40.829 °C,40.2 %RH,39.0 %RH
284,2014-07-22 14:59:27,41.079 °C,41.079 °C,38.7 %RH,38.2 %RH
285,2014-07-22 14:59:57,41.242 °C,41.242 °C,40.7 %RH,40.7 %RH
286,2014-07-22 15:00:27,41.332 °C,41.332 °C,40.9 %RH,39.4 %RH
287,2014-07-22 15:00:57,41.379 °C,41.378 °C,40.4 %RH,39.9 %RH
288,2014-07-22 15:01:27,41.381 °C,41.362 °C,40.7 %RH,40.4 %RH
289,2014-07-22 15:01:57,41.362 °C,41.307 °C,41.6 %RH,41.4 %RH
290,2014-07-22 15:02:27,41.304 °C,41.200 °C,42.1 %RH,42.1 %RH
291,2014-07-22 15:02:57,41.198 °C,41.095 °C,43.3 %RH,43.1 %RH
292,2014-07-22 15:03:27,41.091 °C,40.962 °C,42.6 %RH,41.9 %RH
293,2014-07-22 15:03:57,40.958 °C,40.836 °C,43.3 %RH,41.4 %RH
294,2014-07-22 15:04:27,40.834 °C,40.690 °C,44.1 %RH,43.6 %RH
