,Time,1,2,3,4,5,6
S/N,,720319,720319,720319,720319,720319,720319
Type,,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500,TGP-4500
Description,,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001,Light Interception 001
Property,,Maximum Temperature,Temperature,Minimum Temperature,Maximum Humidity,Humidity,Minimum Humidity
935,2014-07-24 18:03:46,39.894 °C,39.846 °C,39.846 °C,31.0 %RH,30.8 %RH,30.8 %RH
936,2014-07-24 18:04:16,39.848 °C,39.788 °C,39.788 °C,30.8 %RH,30.8 %RH,30.8 %RH
937,2014-07-24 18:04:46,39.791 °C,39.747 °C,39.747 °C,30.8 %RH,30.8 %RH,30.8 %RH
938,2014-07-24 18:05:16,39.747 °C,39.694 °C,39.694 °C,31.0 %RH,30.8 %RH,30.8 %RH
939,2014-07-24 18:05:46,39.688 °C,39.646 °C,39.642 °C,30.8 %RH,30.8 %RH,30.8 %RH
940,2014-07-24 18:06:16,39.639 °C,39.586 °C,39.586 °C,30.8 %RH,30.8 %RH,30.8 %RH
941,2014-07-24 18:06:46,39.586 °C,39.534 °C,39.534 °C,30.8 %RH,30.8 %RH,30.8 %RH
942,2014-07-24 18:07:16,39.531 °C,39.475 °C,39.475 °C,30.8 %RH,30.6 %RH,30.6 %RH
943,2014-07-24 18:07:46,39.473 °C,39.422 °C,39.422 °C,30.6 %RH,30.6 %RH,30.6 %RH
944,2014-07-24 18:08:16,39.420 °C,39.369 °C,39.369 °C,30.8 %RH,30.8 %RH,30.6 %RH
945,2014-07-24 18:08:46,39.366 °C,39.313 °C,39.311 °C,30.8 %RH,30.6 %RH,30.6 %RH
946,2014-07-24 18:09:16,39.311 °C,39.260 °C,39.260 °C,30.6 %RH,30.6 %RH,30.6 %RH
947,2014-07-24 18:09:46,39.258 °C,39.200 °C,39.200 °C,30.6 %RH,30.6 %RH,30.6 %RH
948,2014-07-24 18:10:16,39.199 °C,39.141 °C,39.141 °C,30.6 %RH,30.6 %RH,30.6 %RH
949,2014-07-24 18:10:46,39.144 °C,39.088 °C,39.088 °C,30.6 %RH,30.3 %RH,30.3 %RH
950,2014-07-24 18:11:16,39.085 °C,39.031 °C,39.031 °C,30.3 %RH,30.3 %RH,30.3 %RH
951,2014-07-24 18:11:46,39.029 °C,38.973 °C,38.973 °C,30.6 %RH,30.6 %RH,30.3 %RH
952,2014-07-24 18:12:16,38.973 °C,38.914 °C,38.914 °C,30.6 %RH,30.6 %RH,30.6 %RH
953,2014-07-24 18:12:46,38.914 °C,38.856 °C,38.856 °C,30.6 %RH,30.3 %RH,30.3 %RH
954,2014-07-24 18:13:16,38.855 °C,38.797 °C,38.797 °C,30.3 %RH,30.3 %RH,30.3 %RH
955,2014-07-24 18:13:46,38.799 °C,38.743 °C,38.741 °C,30.3 %RH,30.3 %RH,30.3 %RH
956,2014-07-24 18:14:16,38.738 °C,38.679 °C,38.679 °C,30.3 %RH,30.3 %RH,30.3 %RH
957,2014-07-24 18:14:46,38.682 °C,38.622 °C,38.620 °C,30.3 %RH,30.1 %RH,30.1 %RH
958,2014-07-24 18:15:16,38.620 °C,38.563 °C,38.559 °C,30.3 %RH,30.1 %RH,30.1 %RH
959,2014-07-24 18:15:46,38.561 °C,38.500 °C,38.500 °C,30.3 %RH,30.3 %RH,30.1 %RH
960,2014-07-24 18:16:16,38.505 °C,38.438 °C,38.438 °C,30.3 %RH,30.3 %RH,30.3 %RH
961,2014-07-24 18:16:46,38.436 °C,38.376 °C,38.376 °C,30.3 %RH,30.3 %RH,30.3 %RH
